subject,group,contrast,condition,mask,peak,mean
sub-020,control,4,ffs,v1,17.534553527832,-2.25542966601692
sub-020,control,5,brw,v1,15.0925884246826,-3.3585989853937
sub-020,control,6,bpw,v1,16.0576343536377,-3.13165876042379
sub-020,control,7,bnw,v1,14.4262361526489,-3.60910797249137
sub-020,control,8,bfs,v1,15.6029787063599,-3.81388210638163
sub-021,control,1,frw,v1,14.0419425964355,-0.0296999409520837
sub-021,control,2,fpw,v1,11.7030897140503,-0.909989044878884
sub-021,control,3,fnw,v1,13.6734294891357,-0.144965868353451
sub-021,control,4,ffs,v1,16.7390365600586,-0.680323365143547
sub-021,control,5,brw,v1,15.2223110198975,-0.743724366847832
sub-021,control,6,bpw,v1,14.963828086853,-0.892825798567143
sub-021,control,7,bnw,v1,12.6166934967041,-1.13466048580085
sub-021,control,8,bfs,v1,14.8233366012573,-1.51337627024774
sub-022,control,1,frw,v1,3.92744493484497,-0.861025845126778
sub-022,control,2,fpw,v1,4.04698657989502,-0.332227711066512
sub-022,control,3,fnw,v1,6.53431081771851,0.0806617863431155
sub-022,control,4,ffs,v1,2.87164878845215,-1.32309781111708
sub-022,control,5,brw,v1,5.55248355865479,0.442149413072612
sub-022,control,6,bpw,v1,7.00927400588989,-0.82001796319266
sub-022,control,7,bnw,v1,5.23428440093994,-0.201042826966363
sub-022,control,8,bfs,v1,2.8239917755127,-1.40887688945451
sub-023,control,1,frw,v1,5.41806840896606,0.325740405317299
sub-023,control,2,fpw,v1,7.22718906402588,0.406372491842353
sub-023,control,3,fnw,v1,6.64889144897461,0.810766577470412
sub-023,control,4,ffs,v1,6.73359203338623,0.0322848916461262
sub-023,control,5,brw,v1,4.60637664794922,-0.789691354869474
sub-023,control,6,bpw,v1,2.72528004646301,-0.528316736029844
sub-023,control,7,bnw,v1,4.27032518386841,-0.441085315101715
sub-023,control,8,bfs,v1,3.99474000930786,-0.441969277525603
sub-024,control,1,frw,v1,22.9925994873047,1.48068414472809
sub-024,control,2,fpw,v1,22.4730911254883,0.670989594920087
sub-024,control,3,fnw,v1,22.0283260345459,1.18268905608406
sub-024,control,4,ffs,v1,19.2011241912842,0.119054009782329
sub-024,control,5,brw,v1,18.7499675750732,0.771509778358224
sub-024,control,6,bpw,v1,18.6166210174561,1.28218944841702
sub-024,control,7,bnw,v1,19.0079040527344,1.13206091082812
sub-024,control,8,bfs,v1,20.4211254119873,0.686677907265904
sub-026,control,1,frw,v1,11.6208333969116,-0.399760850511451
sub-026,control,2,fpw,v1,14.374195098877,0.47179315259525
sub-026,control,3,fnw,v1,13.2236042022705,-0.335362797305199
sub-026,control,4,ffs,v1,14.634651184082,0.0733908273467229
sub-026,control,5,brw,v1,18.3931007385254,-0.486676460988124
sub-026,control,6,bpw,v1,17.2034511566162,-0.422325632239865
sub-026,control,7,bnw,v1,17.2418975830078,-0.671350844719927
sub-026,control,8,bfs,v1,16.8612518310547,0.527523701223363
sub-027,control,1,frw,v1,13.1137104034424,0.608414517751552
sub-027,control,2,fpw,v1,15.3261594772339,0.92259647146571
sub-027,control,3,fnw,v1,16.6440887451172,1.26742424185702
sub-027,control,4,ffs,v1,13.0786714553833,-0.283414490128725
sub-027,control,5,brw,v1,12.1314573287964,1.23663614730153
sub-027,control,6,bpw,v1,12.7556486129761,1.20143701942585
sub-027,control,7,bnw,v1,12.5866842269897,1.24270469794294
sub-027,control,8,bfs,v1,12.2505807876587,1.45234295096531
sub-028,control,1,frw,v1,12.3883371353149,-1.79088578319048
sub-028,control,2,fpw,v1,12.7255220413208,-1.44871170208521
sub-028,control,3,fnw,v1,19.0902309417725,-0.00130708642023633
sub-028,control,4,ffs,v1,19.9429054260254,-1.38607364246287
sub-028,control,5,brw,v1,18.7028064727783,-1.76311492315639
sub-028,control,6,bpw,v1,19.453685760498,-1.6386355326344
sub-028,control,7,bnw,v1,17.9184894561768,-1.98447126938482
sub-028,control,8,bfs,v1,18.383659362793,-1.83156078793297
