subject,condition,cluster,x,y
006,fw,french_expert,-0.189703570354991,-0.0271655281874435
006,fw,french_expert,-0.331636419056476,-0.158542074129251
006,fw,french_expert,-0.396270418103446,-0.184423563065791
006,fw,french_expert,-0.397898344891454,-0.157539414818439
006,fw,french_expert,-0.353926241576436,-0.127173901932651
006,fw,french_expert,-0.301769450984635,-0.106927856334933
006,fw,french_expert,-0.246713722699641,-0.0928114444984908
006,fw,french_expert,-0.144910034470108,-0.0621822838233677
006,fw,french_expert,-0.0242107419256191,-0.00448344273897129
006,fw,french_expert,0.021837073776864,0.0367027121450043
006,fw,french_expert,-0.00887948087242671,0.0357426644195728
006,fw,french_expert,-0.0654196784073831,0.0379608730745571
006,fw,french_expert,-0.0950204514312053,0.0690741155248098
006,fw,french_expert,-0.0768923056384897,0.0867370354971596
006,fw,french_expert,-0.0377064538405148,0.0796452937462432
006,fw,french_expert,-0.0130313555386172,0.0561440280463743
006,fw,french_expert,-0.0136318565029434,0.00418048824547406
006,fw,french_expert,-0.0192568364800474,-0.0638979821367756
006,fw,french_expert,-0.0289807470710032,-0.112105585739783
006,fw,french_expert,-0.0599782225464368,-0.117687025891718
006,fw,french_expert,-0.0938966463709361,-0.0984668198528435
006,fw,french_expert,-0.100318066618889,-0.0745560864614713
006,fw,french_expert,-0.0946707303400878,-0.0497472777169917
006,fw,french_expert,-0.0951231505569795,-0.0472902064730955
006,fw,french_expert,-0.0862904861874978,-0.0718378577739106
006,fw,french_expert,-0.0842884401533779,-0.0842320563407451
006,fw,french_expert,-0.0945194034966037,-0.0684703514582512
006,fw,french_expert,-0.0835958116106267,-0.0439992760595075
006,fw,french_expert,-0.0512991903633749,-0.0291022900525313
006,fw,french_expert,0.0542935779590075,0.0389201640983326
006,fw,french_expert,0.461355670261667,0.293212734033657
006,fw,french_expert,0.992658050904021,0.440099582956617
006,fw,french_expert,1.36607412805072,0.227061638700771
006,fw,french_expert,1.50132397151198,-0.155123546683466
006,fw,french_expert,1.34650192597142,-0.339006479462119
006,fw,french_expert,0.955503623079351,-0.279326368219829
006,fw,french_expert,0.511500069103126,-0.174952696312487
006,fw,french_expert,0.16141073442809,-0.0996088730684535
006,fw,french_expert,-0.0629634106260636,-0.0455234043116908
006,fw,french_expert,-0.198594052694445,-0.023765547287492
006,fw,french_expert,-0.264442455508487,-0.0548288561555415
006,fw,french_expert,-0.257082664252945,-0.095075750365642
006,fw,french_expert,-0.194570385726582,-0.123255910922111
006,fw,french_expert,-0.115561341132218,-0.125302935358039
006,fw,french_expert,-0.0479720586294552,-0.0644305612127337
006,fw,french_expert,-0.0136051555332855,0.014717782897929
006,fw,french_expert,-0.00925685702983087,0.0174686135517166
006,fw,french_expert,0.000713243228919233,-0.0321917885616932
006,fw,french_expert,0.00855309959650509,-0.0263979460057051
006,fw,french_expert,0.0028666494805042,0.0471042245236083
006,fw,french_expert,0.000983035871925914,0.121271848740909
006,fw,french_expert,0.0281018128138411,0.166225313358761
006,fw,french_expert,0.0704699864058403,0.181135618026885
006,fw,french_expert,0.0945607597867658,0.142551766515291
006,fw,french_expert,0.0969030118421382,0.0500404880288234
006,fw,french_expert,0.099751270436024,-0.0310290945252803
006,fw,french_expert,0.125408104374818,-0.0590325767519232
006,fw,french_expert,0.135843702318802,-0.0790723942859273
006,fw,french_expert,0.0978986357227131,-0.112306610960726
006,fw,french_expert,0.0163892959093997,-0.114101437968746
006,fw,french_expert,-0.0784281703405719,-0.0738514485435992
006,fw,french_expert,-0.134043023598404,-0.0369073775932881
006,fw,french_expert,-0.142402625299208,-0.0381946563710636
006,fw,french_expert,-0.135571524349379,-0.0574613630617799
006,fw,french_expert,-0.117686645445884,-0.0696697155855838
006,fw,french_expert,-0.0877212600266043,-0.0895341847545581
006,fw,french_expert,-0.0614751369712831,-0.11832204977561
006,fw,french_expert,-0.0464777786719514,-0.13542102020772
006,fw,french_expert,-0.0622109492835776,-0.130367690847017
006,fw,french_expert,-0.118224248682237,-0.106130246026185
006,fw,french_expert,-0.181788323393876,-0.074790454393151
006,fw,french_expert,-0.223843015437771,-0.0472365376959026
006,fw,french_expert,-0.237166611258961,-0.0261914460012636
006,fw,french_expert,-0.227003650830397,-0.0114287979643327
006,fw,french_expert,-0.227040760384871,-0.00359152623980059
