subject,task,run,mask,tSNR
sub-022,wordsDecoding,010,whole-brain,14.3792215621563
sub-022,wordsDecoding,010,vwfa-roi,41.0470510019967
sub-022,wordsDecoding,011,whole-brain,16.0707614202735
sub-022,wordsDecoding,011,vwfa-roi,50.7414984579626
sub-022,wordsDecoding,012,whole-brain,16.1881457818481
sub-022,wordsDecoding,012,vwfa-roi,46.1656758335147
sub-023,visualLocalizer,001,whole-brain,18.9608865184678
sub-023,visualLocalizer,001,vwfa-roi,62.0781583263485
sub-023,visualLocalizer,002,whole-brain,10.992358363072
sub-023,visualLocalizer,002,vwfa-roi,43.5200563413141
sub-023,wordsDecoding,001,whole-brain,16.5138623160174
sub-023,wordsDecoding,001,vwfa-roi,45.7854632152771
sub-023,wordsDecoding,002,whole-brain,16.3129438581457
sub-023,wordsDecoding,002,vwfa-roi,53.1849786576499
sub-023,wordsDecoding,003,whole-brain,14.0292289446167
sub-023,wordsDecoding,003,vwfa-roi,51.5142864175171
sub-023,wordsDecoding,004,whole-brain,17.7612462683821
sub-023,wordsDecoding,004,vwfa-roi,55.1928839127638
sub-023,wordsDecoding,005,whole-brain,17.6344483226204
sub-023,wordsDecoding,005,vwfa-roi,53.5213137679627
sub-023,wordsDecoding,006,whole-brain,14.7125183469421
sub-023,wordsDecoding,006,vwfa-roi,49.5616014099057
sub-023,wordsDecoding,007,whole-brain,15.3618756931686
sub-023,wordsDecoding,007,vwfa-roi,50.4281161388635
sub-023,wordsDecoding,008,whole-brain,17.3879826983941
sub-023,wordsDecoding,008,vwfa-roi,58.7006587435757
sub-023,wordsDecoding,009,whole-brain,14.0311101818
sub-023,wordsDecoding,009,vwfa-roi,40.5194751568142
sub-023,wordsDecoding,010,whole-brain,17.2762994838973
sub-023,wordsDecoding,010,vwfa-roi,60.5623102310491
sub-023,wordsDecoding,011,whole-brain,13.7156598525741
sub-023,wordsDecoding,011,vwfa-roi,46.5784317810304
sub-023,wordsDecoding,012,whole-brain,13.1086138829235
sub-023,wordsDecoding,012,vwfa-roi,46.6053221428953
sub-024,visualLocalizer,001,whole-brain,15.3718640221791
sub-024,visualLocalizer,001,vwfa-roi,66.1797500215548
sub-024,visualLocalizer,002,whole-brain,12.901776544866
sub-024,visualLocalizer,002,vwfa-roi,59.3359496431548
sub-024,wordsDecoding,001,whole-brain,15.4765758089981
sub-024,wordsDecoding,001,vwfa-roi,70.0090834670111
sub-024,wordsDecoding,002,whole-brain,17.0057519699613
sub-024,wordsDecoding,002,vwfa-roi,70.0655627598708
sub-024,wordsDecoding,003,whole-brain,14.5429911725596
sub-024,wordsDecoding,003,vwfa-roi,66.7427452366169
sub-024,wordsDecoding,004,whole-brain,14.8744122553376
sub-024,wordsDecoding,004,vwfa-roi,62.5001946399406
sub-024,wordsDecoding,005,whole-brain,12.6260158165073
sub-024,wordsDecoding,005,vwfa-roi,52.4237613893348
sub-024,wordsDecoding,006,whole-brain,14.4375112104178
sub-024,wordsDecoding,006,vwfa-roi,60.7256639232688
sub-024,wordsDecoding,007,whole-brain,17.0162871580405
sub-024,wordsDecoding,007,vwfa-roi,62.7727178442425
sub-024,wordsDecoding,008,whole-brain,13.4458952308284
sub-024,wordsDecoding,008,vwfa-roi,61.6775630280023
sub-024,wordsDecoding,009,whole-brain,14.4792852615187
sub-024,wordsDecoding,009,vwfa-roi,58.5098914315926
sub-024,wordsDecoding,010,whole-brain,15.7859796288495
sub-024,wordsDecoding,010,vwfa-roi,60.7627528539223
sub-024,wordsDecoding,011,whole-brain,15.7155515706292
sub-024,wordsDecoding,011,vwfa-roi,62.0327157984721
sub-024,wordsDecoding,012,whole-brain,15.7194751268973
sub-024,wordsDecoding,012,vwfa-roi,61.3660506306394
sub-026,visualLocalizer,001,whole-brain,12.5977914755646
sub-026,visualLocalizer,001,vwfa-roi,50.0118439603669
sub-026,visualLocalizer,002,whole-brain,12.7937655332555
sub-026,visualLocalizer,002,vwfa-roi,47.772849523672
sub-026,wordsDecoding,001,whole-brain,10.9815444047478
sub-026,wordsDecoding,001,vwfa-roi,66.0266429189252
sub-026,wordsDecoding,003,whole-brain,13.5484033565961
sub-026,wordsDecoding,003,vwfa-roi,72.8903458743918
sub-026,wordsDecoding,007,whole-brain,12.6935083628538
sub-026,wordsDecoding,007,vwfa-roi,41.0615592599075
sub-026,wordsDecoding,008,whole-brain,13.3728271602006
sub-026,wordsDecoding,008,vwfa-roi,51.2255495202026
sub-026,wordsDecoding,002,whole-brain,15.7862154596502
sub-026,wordsDecoding,002,vwfa-roi,75.7100123212153
sub-026,wordsDecoding,004,whole-brain,15.7266167447459
sub-026,wordsDecoding,004,vwfa-roi,74.5582377440574
sub-026,wordsDecoding,005,whole-brain,15.9239775125827
sub-026,wordsDecoding,005,vwfa-roi,70.1972763204022
sub-026,wordsDecoding,006,whole-brain,15.9770434441474
sub-026,wordsDecoding,006,vwfa-roi,70.5355329389834
sub-026,wordsDecoding,009,whole-brain,14.4669983762295
sub-026,wordsDecoding,009,vwfa-roi,71.4790537842997
sub-026,wordsDecoding,010,whole-brain,14.4562490521921
sub-026,wordsDecoding,010,vwfa-roi,66.0534849426393
sub-026,wordsDecoding,011,whole-brain,15.1105550901492
sub-026,wordsDecoding,011,vwfa-roi,67.8686860919682
sub-026,wordsDecoding,012,whole-brain,14.5862534829249
sub-026,wordsDecoding,012,vwfa-roi,68.4650610584341
sub-027,visualLocalizer,001,whole-brain,17.0059756938625
sub-027,visualLocalizer,001,vwfa-roi,59.8667002259634
sub-027,visualLocalizer,002,whole-brain,17.7074532790071
sub-027,visualLocalizer,002,vwfa-roi,67.1742072642664
sub-027,wordsDecoding,001,whole-brain,14.7202869612311
sub-027,wordsDecoding,001,vwfa-roi,62.3113349414431
sub-027,wordsDecoding,002,whole-brain,12.3301477882629
sub-027,wordsDecoding,002,vwfa-roi,56.0093451868259
sub-027,wordsDecoding,003,whole-brain,16.3154812146084
sub-027,wordsDecoding,003,vwfa-roi,66.8480450598479
sub-027,wordsDecoding,004,whole-brain,16.5552872223944
sub-027,wordsDecoding,004,vwfa-roi,67.9795601660524
sub-027,wordsDecoding,005,whole-brain,16.0256824580071
sub-027,wordsDecoding,005,vwfa-roi,68.8466376392427
sub-027,wordsDecoding,006,whole-brain,16.8218403238103
sub-027,wordsDecoding,006,vwfa-roi,72.727663423764
sub-027,wordsDecoding,007,whole-brain,18.6420478423471
sub-027,wordsDecoding,007,vwfa-roi,76.4746696428553
